base;nombre;apellido
James Earl;James;Earl
Ralph Earl;Ralph;Earl
Baltasar Echave Ibía;Baltasar;Echave Ibía
Baltasar Echave Orio;Baltasar;Echave Orio
Baltasar de Echave y Rioja;Baltasar de;Echave y Rioja
Albert Eckout;Albert;Eckout
Johann Eckstein;Johann;Eckstein
Nicolás de los Ecoz;Nicolás de los;Ecoz
Thomas Edwards;Thomas;Edwards
Jacob Eichholtz;Jacob;Eichholtz
A. Ellis;A.;Ellis
José Elói;José;Elói
Jean Pierre Henri Elouis;Jean Pierre Henri;Elouis
George Engleheart;George;Engleheart
Antonio Enriquez;Antonio;Enriquez
Nicolás Enríquez;Nicolás;Enríquez
Antonio Ergueta;Antonio;Ergueta
Tadeo Escalante;Tadeo;Escalante
José Nicolás de la Escalera;José Nicolás de la;Escalera
Isidro Escamilla;Isidro;Escamilla
Francisco de Escobar;Francisco de;Escobar
Francisco Escobar;Francisco;Escobar
Vicente Escobar y Flores;Vicente;Escobar y Flores
Antonio de Espinosa;Antonio de;Espinosa
Jerónimo Jacinto de Espinoza;Jerónimo Jacinto de;Espinoza
Marcelo Espinoza;Marcelo;Espinoza
José Espinoza de los Monteros;José;Espinoza de los Monteros
Juan Espinoza de Los Monteros;Juan;Espinoza de Los Monteros
José Joaquín Esquivel;José Joaquín;Esquivel
José F. De Estrada;José F. De;Estrada
Antonio Estrada;Antonio;Estrada
John Faber;John;Faber
Felipe Fabres;Felipe;Fabres
Marcelino Falcón de Aguilar;Marcelino;Falcón de Aguilar
Julián Falla;Julián;Falla
José Mariano Farfán de los Godos;José Mariano;Farfán de los Godos
Richard Fecke;Richard;Fecke
Robert Feke;Robert;Feke
Tomás Fernández de Heredia;Tomás;Fernández de Heredia
Charles Balthazar Julien Fevret de Saint-Memin;Charles Balthazar Julien;Fevret de Saint-Memin
Robert Field;Robert;Field
Joao Batista de Figuereido;Joao Batista de;Figuereido
Baltasar de Figueroa;Baltasar de;Figueroa
Gaspar de Figueroa;Gaspar de;Figueroa
José Celestino Figueroa;José Celestino;Figueroa
José Miguel Figueroa;José Miguel;Figueroa
Pedro José Figueroa;Pedro José;Figueroa
Jacobo o Lorenzo Fiorini;Jacobo o Lorenzo;Fiorini
Alvan Fisher;Alvan;Fisher
Javier Flores;Javier;Flores
Leonardo Flores;Leonardo;Flores
Juan Flores Sevilla;Juan;Flores Sevilla
Manoel Antônio da Fonseca;Manoel Antônio da;Fonseca
Guillermo Forchaudt;Guillermo;Forchaudt
Joanes Franciscus;Joanes;Franciscus
Antonio Joaquim Franco;Antonio Joaquim;Franco
Alonso Franco;Alonso;Franco
Charles Fraser;Charles;Fraser
David Freake-Gibbs;David;Freake-Gibbs
George Freeman;George;Freeman
José Joaquín Freire;José Joaquín;Freire
Veríssimo de Freitas;Veríssimo de;Freitas
Pedro Antonio Fresquis;Pedro Antonio;Fresquis
James Frothingham;James;Frothingham
Jacob Frymire;Jacob;Frymire
Hermana Juana Beatriz de la Fuente;Hermana Juana Beatriz de la;Fuente
Robert Fulton;Robert;Fulton
G.E.;;G.E.
Thomas Gainsborought;Thomas;Gainsborought
Nicolao Rubences Galero;Nicolao Rubences;Galero
Manuel Galicia;Manuel;Galicia
Faustino Galindo;Faustino;Galindo
Juan Gallegos;Juan;Gallegos
Matías de Gálvez;Matías de;Gálvez
José Manuel de Gamarra;José Manuel de;Gamarra
Gregorio Gamarra;Gregorio;Gamarra
José Gamarra;José;Gamarra
Gansevoort Limner;Limner;Gansevoort
Felipe García;Felipe;García
Manuel García;Manuel;García
Mauricio García;Mauricio;García
Victorino García;Victorino;García
Pablo García del Campo;Pablo;García del Campo
Pedro García Ferrer;Pedro;García Ferrer
Luis García Hevia;Luis;García Hevia
Agustín García Zorro de Useche;Agustín;García Zorro de Useche
José Garzón Melgarejo;José;Garzón Melgarejo
Juan Gerson;Juan;Gerson
Geslain;;Geslain
Freake Gibbs;Freake;Gibbs David?
José Gil de Castro;José;Gil de Castro
Robert Jr. Gilmor;Robert Jr.;Gilmor
Reverend William Gilpin;Reverend William;Gilpin
José Miguel Gómez;José Miguel;Gómez
Jerónimo Gómez;Jerónimo;Gómez
Manuel Gómez;Manuel;Gómez
Mateo Gómez;Mateo;Gómez
José Gómez de Sandoval;José;Gómez de Sandoval
Joaquim Gonçalves da Rocha;Joaquim;Gonçalves da Rocha
Miguel y Juan González;Miguel y Juan;González
Juan González;Juan;González
Miguel González;Miguel;González
Eliza Goodridge;Eliza;Goodridge
Sarah Goodridge;Sarah;Goodridge
Nicolás Javier de Goríbar;Nicolás Javier de;Goríbar
Francisco Estanislao Goyena y Odaly;Francisco Estanislao;Goyena y Odaly
Valentine Green;Valentine;Green
Benjamin Greenleaf;Benjamin;Greenleaf
John Greenwood;John;Greenwood
Ethan Allen Greenwood;Ethan Allen;Greenwood
Henry Grey;Henry;Grey
José Grimau S. J.;José;Grimau
Fernando Gualpa Tupa;Fernando;Gualpa Tupa
Batailles de Guararapes;Batailles de;Guararapes
Miguel Guelles;Miguel;Guelles
Miguel Güelles y Domingo Caro;Miguel y Domingo;Güelles y Caro
Mariano Guerrero;Mariano;Guerrero
Buenaventura José Guiol;Buenaventura José;Guiol
Christian Amadus Gullager;Christian Amadus;Gullager
Christian Gullager;Christian;Gullager
Gerónimo Gutiérrez;Gerónimo;Gutiérrez
Rafael Joaquín Gutiérrez;Rafael Joaquín;Gutiérrez
Gutiérrez;;Gutiérrez
Joaquín Gutiérrez;Joaquín;Gutiérrez
Francis Guy;Francis;Guy
J.M Habiyu;J.M;Habiyu
A. Haddock;A.;Haddock
John Valentine Haidt;John Valentine;Haidt
Chester Harding;Chester;Harding
Jeremiah Pearson Hardy;Jeremiah Pearson;Hardy
Edward Heaton;Edward;Heaton
John Heaton;John;Heaton
Charles Hénard;Charles;Hénard
Daniel Hendrickson;Daniel;Hendrickson
Pierre Henri;Pierre;Henri
Salome Hensel;Salome;Hensel
Antonio de Heredia;Antonio de;Heredia
José María Hernández;José María;Hernández
Alonso Hernández de Heredia;Alonso;Hernández de Heredia
Miguel de Herrera;Miguel de;Herrera
Francisco de Herrera y Velarde;Francisco de;Herrera y Velarde
Gustavus Hesselius;Gustavus;Hesselius
John Hesselius;John;Hesselius
Edward Hicks;Edward;Hicks
Diego José Hilaris;Diego José;Hilaris
Nathaniel Hone;Nathaniel;Hone
Milton W. Hopkins;Milton W.;Hopkins
John Hoppner;John;Hoppner
William James Hubard;William James;Hubard
Thomas Hudson;Thomas;Hudson
Salvador Huerta;Salvador;Huerta
Pieter Van Huffel;Pieter Van;Huffel
José de Ibarra;José de;Ibarra
Ramón Ibarra y González;Ramón;Ibarra y González
Charles Cromwell Ingham;Charles Cromwell;Ingham
Henry Inman;Henry;Inman
Joaquín de Inza;Joaquín de;Inza
Andrés Islas;Andrés;Islas
Hahiyú de Itapuá;Hahiyú de;Itapuá
J. H.;;J. H.
Leonardo Jaramillo;Leonardo;Jaramillo
John Wesley Jarvis;John Wesley;Jarvis
Julián Jayo;Julián;Jayo
William Jennys;William;Jennys
Manoel Víctor de Jesus;Manoel Víctor de;Jesus
José Teóphilo de Jesús;José Teóphilo de;Jesús
Pablo De Jesús;Pablo De;Jesús
William Jewett;William;Jewett
José Antonio Jiménez;José Antonio;Jiménez
Miguel Jiménez;Miguel;Jiménez
Leandro Joaquín;Leandro;Joaquín
